Unnamed: 0,Impulse (I),Air density (pa),Positive Phase Duration (tp),Peak Overpressure (pa),Spacing (m),Stemming (m^3),Number of rows (explosive load),Air-overpressure (index),Percentil_Rango
0,3.7084069961912585,7.752825376649248,3.445602389689789,6.337527734163851,0.9093118326599638,0.7248726583816019,2.0749955765677783,4.908845504214531,85-90%
1,0.9520105820816787,0.7451515151418244,2.77999692317372,6.182237655889333,4.587838096958441,4.536947734022395,2.1104124346381816,4.670304607088717,35-40%
2,3.491622543518459,7.80874302307272,3.167353407543368,6.265252914346412,4.369595919271217,4.736493867505821,2.121183449821275,4.914461726125471,85-90%
3,3.087163632348705,7.54216279093104,3.0482789160591786,6.2371008203629055,4.344265213226855,4.645083940262563,2.203014957753266,4.640945624139632,30-35%
4,3.0796609538257638,7.214911707866675,0.5918597947802837,6.186061164505992,0.9574428095316194,4.4800116010952085,2.276852172800151,4.555775079169221,20-25%
5,3.669597321311797,7.01261269737395,3.433051895259121,6.006724021439651,0.7488468512345858,0.6585876033191481,1.9362260853347972,4.621753441627653,25-30%
6,2.869487347816062,7.773278352325932,0.3218390684911546,6.292850140379314,0.16705204912303406,4.54598404966987,2.19538381991523,4.623145706955198,25-30%
7,2.69704349725213,6.892802229141084,2.635637417318094,6.007670811411621,4.293835971153734,0.14181196238561822,0.5800320146331583,4.31383423375318,0-5%
8,3.1573299947995697,7.764871645277647,2.876147301840267,6.378039783888853,4.473580831911052,4.800744704809076,2.091218164591053,4.768252571440947,55-60%
9,3.7553998666844577,7.669134235134344,3.606224768960757,6.335127375836323,0.8328000131427853,4.94636668220473,0.2549825166088484,4.991336444598052,95-100%
10,2.875009634929256,7.458823829443756,2.776848113304775,6.302933844435683,4.5799808658222325,4.551291678036429,2.216693234905639,4.503632779579525,10-15%
11,3.227262573129927,7.62210197814808,2.9969107681636,6.257318666368269,4.523148652219186,4.727267896977639,2.2980161915235486,4.6850446613872405,40-45%
12,3.668098445997194,7.714041985210983,3.318540728571983,0.7808545292243859,0.9885892987086123,4.826633352521086,2.082713615198838,4.846707412343331,70-75%
13,3.125117841107868,7.68133189158641,3.1131937051771,6.228775981523568,4.533905349720416,4.801888177481559,2.1707312958378684,4.689628327884611,40-45%
14,2.8487003720976816,0.40043044230236025,2.8083303569272835,6.091012121398622,0.7766244520726183,4.424884995720053,2.0958665534529786,4.48728288008351,10-15%
15,3.209258388885605,7.775661306614652,3.069014083901445,6.351797759864844,4.461077650640576,4.595793735165983,2.019096294046338,4.80221751766714,65-70%
16,3.722646300692523,7.663154237376552,3.450310919037301,0.3251790401275605,4.1326686099142655,4.958942061807727,1.929840478230952,0.5560954257511691,85-90%
17,3.75778976469277,7.041861929327478,3.434972472553389,5.985906710238582,3.888824968974368,4.771123635625561,1.9622962182042292,4.609365556673059,25-30%
18,3.260408936009597,7.645864319471892,2.9887400551599823,6.269325761914848,4.478138783758582,4.617080489334346,1.99579034646492,4.778959996336667,60-65%
19,2.744714925180852,7.2875657172681665,2.6410087537631872,6.116879772482308,0.3392355605646644,4.416729596518372,2.193990998140713,0.8828941205996518,15-20%
20,3.0328098843743394,0.01138664785918686,0.38173077759187024,6.177937825882811,4.587137382006059,4.708163162814757,2.276085510191854,4.776074953081276,55-60%
21,3.033990791205825,7.641801070235867,2.8061790554271417,6.275283694332253,4.562123959064808,4.493708136531609,2.290896199796457,4.735331885459485,50-55%
22,3.6988635544873065,0.357594179930816,0.9475622948601238,6.166507359435697,4.135166359199211,4.992547826683096,1.9709708361741036,4.876578046244183,80-85%
23,2.945920936125669,7.688833350855016,2.6964943002114325,6.2087819080407245,4.614259252677094,4.503562764297839,2.1474081884310943,4.69890699256692,40-45%
24,2.8416728293455296,6.958127088077927,2.528746781784656,5.942083284993658,4.392332942232602,4.191968538191761,0.47183126738390946,0.6435675322798464,0-5%
25,2.776852153253588,7.366677357342851,2.577284482412563,6.160105067104064,4.563081295274614,4.420722683586504,2.2909822681119123,4.50569554908119,10-15%
26,3.3183744193629003,6.486727334680334,3.0931997386395254,5.708586278528465,3.894726575218562,4.265574218246597,1.772525442117867,4.215572537520897,0-5%
27,3.2967415285520616,6.947722300955754,3.1212405795078784,5.987668415789611,4.04419077366536,4.48402246348987,2.040638648300341,4.558740584024816,20-25%
28,3.754489108305264,7.776554963174154,3.3915582700478657,6.177586309915168,4.269428178258737,4.8618611207655125,2.1612262758520213,4.897135196513801,80-85%
29,2.896660482031103,7.5663268779262705,2.498941706376908,6.151443394280659,4.49765626724225,4.5251053913626205,2.0770875406255884,4.490666232998704,10-15%
30,3.720551007105692,0.5162614506137337,3.5553700580032865,6.21147689622532,4.187028562630859,4.838988989072617,0.08376727960215902,4.936314540934148,90-95%
31,3.1279331028781745,6.845467358663195,3.012815518492955,5.912476260457345,4.122034258456913,4.246567559445733,2.1262929395127528,4.337909407517971,5-10%
32,3.0253078392092214,6.604235685939699,2.8451266188931315,5.837547031070663,0.7913031034887871,4.205725376223653,2.065761735283867,0.6930003488461771,0-5%
33,3.591766806726897,7.762824945213237,3.1262293715235345,6.289125519718937,4.285331614309105,4.849546589336094,2.060570383670193,4.764533829514735,55-60%
34,3.866461990630016,7.632120970113097,0.8341037944805466,0.5167400285954715,4.281526937887969,4.877299942792307,1.9667765806536337,4.962982337350321,90-95%
35,2.7455018936067352,7.377202155687177,2.709184934541922,6.050138797038611,4.510265708728359,4.354159934090385,2.187351485828384,4.469160073723804,10-15%
36,3.4196232418479,7.67029906569016,3.100891584362994,6.204150941314327,4.4345761883852175,4.730027108429231,1.9765470481236156,4.759907653203063,55-60%
37,3.447737712240933,7.106008520149409,3.161550800484943,6.136480079292702,4.082682291168575,4.548504144096123,2.117601193830226,4.503606212168537,10-15%
38,3.017046607841444,7.481439675894973,2.730589191686859,6.297980268236907,4.4141469657300645,4.551909329685419,2.16049037374857,4.60426594766407,25-30%
39,2.726444538651941,6.880660422008135,2.6442691306082398,5.912040252015816,4.353794086092663,4.135774167924244,2.0274439459457083,4.45551947437174,10-15%
40,0.6918500974888291,7.097808565682266,3.4666344260685644,5.974630869607172,3.7576563319179863,0.3817927288731179,2.0932221427927438,4.788386451078612,60-65%
41,3.6567377911324903,7.320093297296729,3.348065646486837,6.122007437523588,4.212971773886549,4.613561177944326,2.0456180949986207,4.744533895533639,50-55%
42,0.38439569961941744,7.686973247196509,3.154014722711022,6.344250237123389,0.5458245221362484,4.809341124826512,2.1532677689146986,4.778625035664179,60-65%
43,3.1817695156912515,7.633853346378577,3.0644941364731237,6.273323684199434,0.7548867980101834,4.691118279944546,2.251370788350036,0.12530295290834714,35-40%
44,3.405265112843833,7.420999061456777,0.14365108095727686,6.263246854449887,4.440311012894108,4.683621307302818,0.5600845075170909,4.628833538343633,30-35%
