Unnamed: 0,Burden (t),Hole diameter (m),Spacing (m),Stemming (m^3),Hole depth (m),Specific charge (t),Number of rows (explosive load),Backbreak (index),Percentil_Rango
0,5.583037423226975,6.257198517101056,2.7537780898624167,3.907518371115759,0.7133021215922013,0.3207381491324831,0.3635579363021155,4.18101518633876,10-15%
1,6.007453528516376,6.261843942880916,1.4548939979952369,3.973044405233909,12.673064577511612,0.4506319952096898,4.330887711110192,3.8279298826670174,0-5%
2,5.313270987393447,7.541981086635956,9.702078178995714,4.182776584238159,9.354004597971354,0.4078084735569462,5.6194567403010165,4.934506657692589,85-90%
3,5.317146909585463,6.347838677000186,4.63630498128261,3.907646864864115,11.18328925293284,0.2343938970982952,4.914607311538988,4.49227530033018,35-40%
4,0.6179392470566483,6.271393550529428,5.93402703852025,3.603878623561072,0.18824660062429976,0.3281539938213186,5.246517806696969,4.331678833046198,20-25%
5,4.6122428376660025,7.724333131661106,14.02452884148254,4.021952186230551,7.776101613271189,0.4357215098675207,7.038423292973861,4.952984183025647,85-90%
6,0.01351803321311662,6.907781360587575,6.54206332897978,3.9260737022829546,10.382265322818432,0.3300968870687018,0.6436684583447746,4.618351025851604,50-55%
7,4.992871549799088,6.92079283670011,8.008552708131838,3.906576428323936,9.880949651677124,0.2202811051044961,5.505285647213266,4.840861937924951,75-80%
8,5.074378998739234,7.079766678273004,8.366828313867549,4.091868781422333,9.83141777396131,0.4230168485589686,5.454659697984,4.88808998531593,80-85%
9,5.787105898987206,7.1753809465572855,5.399454289146648,4.168825985604947,10.92351218572411,0.4491523123634712,5.033972386456559,4.8369346514953016,75-80%
10,5.3900605286084735,6.758203976049793,5.792151878763567,3.976542056109523,10.747384351208217,0.3740756260654758,4.919505425208893,4.691041185194328,55-60%
11,4.809098718117583,6.769412633505161,8.795331866864851,3.7942420438879,9.536411951302776,0.408296932497055,5.644087137084838,4.726767439185295,60-65%
12,6.092538730138132,6.594362406327065,2.277146130415088,4.209500511773034,12.20101214577031,0.4418431693426249,4.551301678077082,4.185843750008002,10-15%
13,5.701317091236038,6.4286456484230925,3.30987494488922,3.8621929234886583,11.664303035062394,0.4507928636217313,4.573760062320237,4.213431480332416,10-15%
14,5.359434227796889,6.312907579998284,4.682368371109728,3.777156232530118,11.01720930993939,0.2463288487341653,4.9956646980349975,4.30741122511855,15-20%
15,5.890208178768308,6.742406139236482,2.968467119158524,4.214186670230371,11.939028622982129,0.412478291109656,4.420468857866776,4.3758349437125545,20-25%
16,5.96107683030109,6.7582799826264965,4.055646786642614,4.065941953845475,11.56713100677433,0.010845592682557359,0.9134668349667519,4.540679487118822,40-45%
17,6.102079599711978,7.213728440591152,5.1054257455486525,4.405758708166033,11.05422374446603,0.4432735104629007,4.960890870223434,4.656475925659728,55-60%
